run_label,dr_day,initial_time_local,source_log_time_local,source_row_index,preconditioning_days,T_init_garage_degC,T_init_base_1_degC,T_init_base_2_degC,T_init_kitchen_degC,T_init_dining_degC,T_init_bath_degC,T_init_bed_1_degC,T_init_bed_2_degC,T_init_bed_3_degC,T_init_living_degC
20251203,2025-12-03,2025-12-03T00:00:00-05:00,2025-12-03T00:00:00-05:00,95,1,18.0,19.2676944732666,19.33131599426269,19.913787841796875,19.838298797607425,19.41610145568848,19.48103141784668,19.531339645385746,19.548274993896484,19.808473587036133
20251208,2025-12-08,2025-12-08T00:00:00-05:00,2025-12-08T00:00:00-05:00,95,1,18.0,20.69407844543457,20.72698211669922,20.003097534179688,19.927888870239254,19.450647354125977,19.530975341796875,19.559799194335938,19.5883903503418,19.898202896118164
20251209,2025-12-09,2025-12-09T00:00:00-05:00,2025-12-09T00:00:00-05:00,95,1,18.0,21.107973098754883,21.15013694763184,19.94977378845215,19.85103988647461,19.264015197753903,19.349964141845703,19.389036178588867,19.42045783996582,19.81588363647461
20251214,2025-12-14,2025-12-14T00:00:00-05:00,2025-12-14T00:00:00-05:00,95,1,18.0,20.421337127685547,20.472211837768555,20.07233047485352,20.003883361816406,19.570743560791016,19.624500274658203,19.6690673828125,19.67884063720703,19.97766876220703
20260105,2026-01-05,2026-01-05T00:00:00-05:00,2026-01-05T00:00:00-05:00,95,1,18.0,19.11326789855957,19.17875289916992,19.68796730041504,19.608041763305664,19.103553771972656,19.19011688232422,19.22094345092773,19.251924514770508,19.571609497070312
20260121,2026-01-21,2026-01-21T00:00:00-05:00,2026-01-21T00:00:00-05:00,95,1,18.0,19.13258552551269,19.198076248168945,19.758337020874023,19.68303108215332,19.20650100708008,19.28558349609375,19.324596405029297,19.353025436401367,19.65161895751953
20260124,2026-01-24,2026-01-24T00:00:00-05:00,2026-01-24T00:00:00-05:00,95,1,18.0,18.94467163085937,19.01103973388672,19.47861099243164,19.39103507995605,18.89258575439453,18.97120857238769,19.00452995300293,19.03450965881348,19.35712432861328
20260125,2026-01-25,2026-01-25T00:00:00-05:00,2026-01-25T00:00:00-05:00,95,1,16.707565307617188,18.81005859375,18.88874626159668,19.450010299682617,19.35342788696289,18.762340545654297,18.86004447937012,18.904720306396484,18.93838119506836,19.308034896850582
20260126,2026-01-26,2026-01-26T00:00:00-05:00,2026-01-26T00:00:00-05:00,95,1,18.0,18.483856201171875,18.56450080871582,19.652568817138672,19.57249641418457,19.0234489440918,19.10881233215332,19.166479110717773,19.19095802307129,19.548315048217773
20260201,2026-02-01,2026-02-01T00:00:00-05:00,2026-02-01T00:00:00-05:00,95,1,18.0,18.0,18.03196907043457,19.69110107421875,19.62770271301269,19.1990909576416,19.281139373779297,19.309431076049805,19.34215545654297,19.591388702392575
20260208,2026-02-08,2026-02-08T00:00:00-05:00,2026-02-08T00:00:00-05:00,95,1,18.0,18.7728214263916,18.85016250610352,19.699451446533203,19.61660385131836,19.161470413208008,19.22961807250977,19.28057289123535,19.298992156982425,19.580869674682617
20260210,2026-02-10,2026-02-10T00:00:00-05:00,2026-02-10T00:00:00-05:00,95,1,18.0,19.037702560424805,19.0988826751709,19.91780662536621,19.858604431152344,19.43790435791016,19.521804809570312,19.54926300048828,19.583452224731445,19.834095001220703
20260303,2026-03-03,2026-03-03T00:00:00-05:00,2026-03-03T00:00:00-05:00,95,1,18.0,19.3237361907959,19.379135131835938,20.079872131347656,20.024229049682617,19.633975982666016,19.71337509155273,19.748157501220703,19.7790584564209,19.99977684020996
20260318,2026-03-18,2026-03-18T00:00:00-04:00,2026-03-18T00:00:00-04:00,95,1,18.0,19.259809494018555,19.32717514038086,20.09178924560547,20.023256301879883,19.69855690002441,19.7518310546875,19.806629180908203,19.825437545776367,19.996824264526367
